Key,English(en),Korean(ko)
Dialogue_Local_001,,...누구시죠? 그리고 여긴... 어디죠? ►
Dialogue_Local_002,,...이곳은 누스피어 정신 능력 연구소. ►
Dialogue_Local_003,,당신처럼 특별한 정신적 능력을 지닌 사람들을\n보호하고 관리하는 곳입니다. ►
Dialogue_Local_004,,...능력? ►
Dialogue_Local_005,,타인의 정신 세계에 진입하는 것.\n능력을 통해 현실 세계에 영향을 미칠 수도 있습니다. ►
Dialogue_Local_006,,"대단한 능력이지만,\n누군가를 위험에... 빠뜨릴 가능성도 크죠. ►"
Dialogue_Local_007,,당신에게는 큰 사고가 있었습니다.\n그래서 기억이 온전치 않은 것으로 보이네요. ►
Dialogue_Local_008,,저희는 당신이 그 능력을 제대로 통제할 수 있도록\n훈련을 진행하고 당신을 지켜볼 겁니다. ►
Dialogue_Local_009,,왜 저를 도와주시는 거죠? ►
Dialogue_Local_010,,...그건 차차 알게 될 겁니다.\n모두 당신을... 위해섭니다. ►
Dialogue_Local_011,,우선 저희에게 협조하시죠.\n시작하겠습니다. ►
Dialogue_Local_012,,"먼저, 자고 있는 연구원에게 다가가 보십시오. ►"
Dialogue_Local_013,,타인의 정신 세계에 진입하려면\n지금처럼 상대가 잠들어 있어야 합니다. ►
Dialogue_Local_014,,이제 정신 세계 진입을 시도해 보죠. ►
Dialogue_Local_015,,집중을 '길게' 유지하세요. ►
Dialogue_Local_016,,정신 세계에 진입했군요.\n이곳은 각자의 기억과 생각이 반영된 공간입니다. ►
Dialogue_Local_017,,저기 책상 위에 연구원의 ‘연구 기록’이 보이는 군요.\n가까이서 한 번 자세히 들여다보죠. ►
Dialogue_Local_018,,당신이 들여다 보았던 물건 대부분은\n추후에 다시 꺼내볼 수 있습니다. ►
Dialogue_Local_019,,"정신 세계 내에서는 물론,\n현실 세계에서도 가능하죠. ►"
Dialogue_Local_020,,이제 현실 세계로 돌아와 봅시다.\n진입할 때와 마찬가지로 집중하십시오. ►
Dialogue_Local_021,,마지막으로 이번 훈련의 통과 기준을 말씀드리겠습니다. ►
Dialogue_Local_022,,당신이 진입한 정신 세계의 주인인...\n해당 연구원의 '풀 네임'을 알아내 보시죠. ►
Dialogue_Local_023,,능력을 충분히 활용하고 주변을 잘 살피면서 유추해 보세요. ►
Dialogue_Local_024,,"이후 제게 돌아와 정답을 맞히시면,\n훈련을 마치는 것으로 하겠습니다. ►"
Dialogue_Local_025,,연구원의 '풀 네임'은 무엇이죠? ►
Dialogue_Local_026,,틀렸습니다.\n다시 생각해보세요. ►
Dialogue_Local_027,,정답입니다.\n훈련은 이만 마무리하는 것으로 하죠. ►
Dialogue_Local_028,,문을 통해 밖으로 나가 이곳을 둘러보셔도 좋습니다.\n본인이 누군지... 궁금하실 테니. ►
Dialogue_Local_029,,아직 훈련이 끝나지 않았습니다.\n훈련을 마친 후 나가시죠. ►
Dialogue_Local_030,,잠겨있다. ►
Dialogue_Local_031,,(철컥) ►
Dialogue_Local_032,,열렸다. ►
Dialogue_Local_033,,...그만. 훈련에만 집중하세요. ►
Dialogue_Local_034,,혼자 있을 때 열어보자. ►
Dialogue_Local_035,,잠겨있다.\n카드 키가 필요한 것 같다. ►
Dialogue_Local_036,,잠겨있다. ►
Dialogue_Local_037,,잘못된 카드 키인 것 같다. ►
Dialogue_Local_038,,열렸다. ►
Dialogue_Local_039,,(치지직…) 팔레트 시 병원에서 신원 미상의 아이가 한 명 사라졌다는 소식입니다.
Dialogue_Local_040,,"아이를 목격한 사람은 없으며, 수색 작업에도 진전이 없는 상황입니다."
Dialogue_Local_041,,병원 측은 해당 사건에 대해 책임을 회피하려는 모습을 보이고 있습니다. (틱.)
Dialogue_Local_042,,함부로 열면 안될 것 같다. ►
Dialogue_Local_043,,"벌써 가려고? 아이야, 난 널 도와주려는 거야. ►"
Dialogue_Local_044,,(웅웅…) 그 셋은 항상 붙어 다녔다.
Dialogue_Local_045,,"웃고, 떠들고, 서로를 의지하던 모습."
Dialogue_Local_046,,…그들은 선택했어야만 했다.
Dialogue_Local_047,,실험실로 들어가는 아이의 긴장한 얼굴.
Dialogue_Local_048,,그 뒤엔 아이를 부르는 닥터의 목소리. (틱…)
Dialogue_Local_049,,(웅웅…) 우리는 항상 붙어 다녔다.
Dialogue_Local_050,,"웃고, 떠들고, 서로를 의지했는데."
Dialogue_Local_051,,…나는 선택했어야만 했다.
Dialogue_Local_052,,연구소로 떠나는 나의 마지막 목소리.
Dialogue_Local_053,,그 뒤엔 그 애의 알 수 없는 얼굴. (틱…)
Dialogue_Local_054,,첫 번째 훈련은 끝났습니다. 나가보시죠. ►
Dialogue_Local_055,,오랜만이네. 잘 지내지는… 않았겠지?\n괜찮아. 나도 못 지냈거든. ►
Dialogue_Local_056,,어때? 지금의 너는 여기서 도망치고 싶니?
Dialogue_Local_057,,"그렇구나. 좋아, 나만 믿어.\n너만은 탈출할 수 있게 해줄게. ►"
Dialogue_Local_058,,...난 아직도 용기가 없거든. ►
Dialogue_Local_059,,"자, 가져가. 어렵게 가져온 건데, 너라도 쓸 수 있어서 다행이다. ►"
Dialogue_Local_060,,"안녕. 잘 지내야 해, 아이야. ►"
Dialogue_Local_061,,그래? 여전히 그렇구나. ►
Dialogue_Local_062,,"자, 이제 돌아가 봐. 더 도와주지 못해서 미안해. 안녕. ►"
Dialogue_Local_063,,잠겨있는 듯하다. ►
Dialogue_Local_064,,"...네가 어떻게?\n너, 그 애를 기억하는 거야? ►"
Dialogue_Local_065,,... ►
Dialogue_Local_066,,"하하, 내가 건드리지도 못한 편지에\n이런 말이 남겨져 있었다니... ►"
Dialogue_Local_067,,난... 어떻게 해야하지? ►
Dialogue_Local_068,,...오랜만이네. 잘 지냈어? ►
Dialogue_Local_069,,... ►
Dialogue_Local_070,,"정말 기억을 못 하는구나.\n나도, 그날의 일도, 그 애도. ►"
Dialogue_Local_071,,네 탓이 아닌 거 알아.\n하지만... ►
Dialogue_Local_072,,그래. 넌 그 기억 속으로 돌아가야만 해.\n모든 답은 거기에 있을테니까. ►
Dialogue_Local_073,,...마지막 세션을 진행할 때가 되었나 보군요. ►
Dialogue_Local_074,,좋습니다. 잠시 기다리시죠. ►
Dialogue_Local_075,,계획을 실행하자. 준비하렴. ►
Dialogue_Local_076,,"...정말 이 방법뿐일까요?\n좀 더 시간을 갖고 준비해볼 수도, ►"
