Key,English(en),Korean(ko)
EvidenceText_Local_001,,연구일지가 적혀있는 글이다
EvidenceText_Local_002,,연구일지가 적혀있는 글이다
EvidenceText_Local_003,,소중한 가족사진이 담겨있는 펜던트
EvidenceText_Local_004,,아이디가 적혀 있는 카드 키
EvidenceText_Local_005,,실험체 정보가 적혀있는 듯하다.
EvidenceText_Local_006,,무언가 적혀있는 편지다.
EvidenceText_Local_007,,누군가의 일기장이다.
EvidenceText_Local_008,,
EvidenceText_Local_009,,연구소의 사진
EvidenceText_Local_010,,주인공에게 보내는 쪽지
EvidenceText_Local_011,,카드함에 있던 카드 키
EvidenceText_Local_012,,카드함에 있던 카드 키
EvidenceText_Local_013,,카드함에 있던 카드 키
EvidenceText_Local_014,,카드함에 있던 카드 키
EvidenceText_Local_015,,정성스럽게 적힌 편지이다
EvidenceText_Local_016,,연구소 도면 사진
EvidenceText_Local_017,,여러 사람이 그려져 있다.
EvidenceText_Local_018,,계약 내용이 적혀져 있다.
EvidenceText_Local_019,,깨진 거울 조각
EvidenceText_Local_020,,깨진 거울 조각
EvidenceText_Local_021,,깨진 거울 조각
EvidenceText_Local_022,,깨진 거울 조각
EvidenceText_Local_023,,깨진 거울 조각
EvidenceText_Local_024,,무언가 간절하게 적힌 수첩
EvidenceText_Local_025,,사물함용 열쇠
EvidenceText_Local_026,,닥터의 딸이 쓴 편지
EvidenceText_Local_027,,닥터의 수첩
EvidenceText_Local_028,,연구소 단체 사진
EvidenceText_Local_029,,주인공의 일기이다.
EvidenceText_Local_030,,무언가 간절하게 적힌 수첩
