Key,English(en),Korean(ko)
EvidenceName_Local_001,,연구일지(정신)
EvidenceName_Local_002,,연구일지(현실)
EvidenceName_Local_003,,펜던트
EvidenceName_Local_004,,아이디 카드
EvidenceName_Local_005,,실험체 목록
EvidenceName_Local_006,,부모님의 편지
EvidenceName_Local_007,,일기장
EvidenceName_Local_008,,연구소 사진
EvidenceName_Local_009,,신문 기사
EvidenceName_Local_010,,의문의 쪽지
EvidenceName_Local_011,,라운지 카드 키1
EvidenceName_Local_012,,라운지 카드 키2
EvidenceName_Local_013,,라운지 카드 키3
EvidenceName_Local_014,,라운지 카드 키4
EvidenceName_Local_015,,누군가의 편지
EvidenceName_Local_016,,연구소 도면 
EvidenceName_Local_017,,그림
EvidenceName_Local_018,,병원서류&실험계약서
EvidenceName_Local_019,,거울 조각 1
EvidenceName_Local_020,,거울 조각 2
EvidenceName_Local_021,,거울 조각 3
EvidenceName_Local_022,,거울 조각 4
EvidenceName_Local_023,,거울 조각 5
EvidenceName_Local_024,,실험체의 수첩(현실)
EvidenceName_Local_025,,사물함 열쇠
EvidenceName_Local_026,,딸의 편지
EvidenceName_Local_027,,닥터의 수첩
EvidenceName_Local_028,,단체 사진
EvidenceName_Local_029,,주인공의 일기
EvidenceName_Local_030,,실험체의 수첩(정신)
