#,text_detail_img_cnt 는 텍스트 장 수 표시,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,셀에 숫자만 적을때는 숫자 셀의 서식 -> 숫자 ->일반텍스트로 변경해주세요,,,인벤토리 창에 보일 증거물 이미지,인벤토리 창에 보일 증거물 디테일 이미지,증거물 상세 내용에서 사용할 프리팹,맵에서 획득한 증거물의 상세 내용 배경 이미지,상세 내용 콘텐츠의 배경 이미지(책 커버 등),상세 이미지 시작 위치,상세 이미지 장수
artresourceId,artresourceName,artresourceType,filePath,filePathInventoryThumbnail,filePathInventoryDetail,filePathEvidencePrefab,filePathMapBackground,filePathContentBackground,filePathStartPage,pageCnt
Artresource_0001,이동 포인터,UI,,,,,,,,
Artresource_0002,정신세계 게이지,UI,,,,,,,,
Artresource_0003,게이지 차는 모션,UI,,,,,,,,
Artresource_0004,정신세계 입장 모션,UI,,,,,,,,
Artresource_0005,연구원의 연구일지(정신),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_ResearchFile_M""","""Evidence/InventoryDetail/Prologue/UI_Clue_ResearchFile_M""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_ResearchFile_M""","""Evidence/Detail/Background/Prologue/Map_Background_ResearchFile_M""","""Evidence/Detail/ContentBackground/UI_Clue_ResearchFIle_Background""","""Evidence/Detail/Content/Prologue/ResearchFileM/UI_Clue_ResearchFile_M_paper_00""",4
Artresource_0006,타이핑 UI,UI,,,,,,,,
Artresource_0007,연구원의 연구일지(현실),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_ResearchFile_R""","""Evidence/InventoryDetail/Prologue/UI_Clue_ResearchFile_R""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_ResearchFile_R""","""Evidence/Detail/Background/Prologue/Map_Background_ResearchFile_R","""Evidence/Detail/ContentBackground/UI_Clue_ResearchFIle_Background""","""Evidence/Detail/Content/Prologue/ResearchFileR/UI_Clue_ResearchFile_R_paper_00""",4
Artresource_0008,가족 사진이 담긴 펜던트(현실),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_Pendant""","""Evidence/InventoryDetail/Prologue/UI_Clue_Pendant""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_Pendant""","""Evidence/Detail/Background/Prologue/Map_Background_Pendant""",,,
Artresource_0009,카드 키1(현실),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_CardKey""","""Evidence/InventoryDetail/Prologue/UI_Clue_CardKey""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_CardKey""","""Evidence/Detail/Background/Prologue/Map_Background_CardKey""",,,
Artresource_0010,실험체 목록1(현실),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_ParticipateFile""","""Evidence/InventoryDetail/Prologue/UI_Clue_ParticipateFile""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_ParticipateFile""","""Evidence/Detail/Background/Prologue/Map_Background_ParticipateFile""","""Evidence/Detail/ContentBackground/UI_Clue_ParticipateFIle_Background""","""Evidence/Detail/Content/Prologue/ParticipateFile/UI_Clue_ParticipateFIle_profile_00""",4
Artresource_0011,편지1(정신),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_Letter""","""Evidence/InventoryDetail/Prologue/UI_Clue_Letter""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_Letter""","""Evidence/Detail/Background/Prologue/Map_Background_Letter""",,"""Evidence/Detail/Content/Prologue/Letter/UI_Clue_Letter_00""",4
Artresource_0012,일기1(정신),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_Diary""","""Evidence/InventoryDetail/Prologue/UI_Clue_Diary""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_Diary""","""Evidence/Detail/Background/Prologue/Map_Background_Diary""","""Evidence/Detail/ContentBackground/UI_Clue_Diary_Background""","""Evidence/Detail/Content/Prologue/Diary/UI_Clue_Diary_Paper_00""",6
Artresource_0013,사진1(정신),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_Picture""","""Evidence/InventoryDetail/Prologue/UI_Clue_Picture""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_Picture""","""Evidence/Detail/Background/Prologue/Background_Clue""",,,
Artresource_0014,신문 기사1(정신),Evidence,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_NewsPaper""","""Evidence/InventoryDetail/Prologue/UI_Clue_NewsPaper""","""Evidence/Detail/Prefab/Prologue/Prefab_Prop_Clue_NewsPaper""","""Evidence/Detail/Background/Prologue/Map_Background_NewsPaper""",,"""Evidence/Detail/Content/Prologue/NewsPaper/UI_Clue_Newspaper_paper_00",1
Artresource_0015,문(연구원의 연구실) 열리는 애니메이션,Animation,,,,,,,,
