trigger_type : 다이얼로그 자동으로 진행되는지 / auto or interact,,,,셀에 숫자만 적을때는 숫자 셀의 서식 -> 숫자 ->일반텍스트로 변경해주세요,,
interaction_type : 누구랑 대화하는지 / npc or object,,,,,,
@,,,,,,
@,,,,,,
@,셀에 숫자만 적을때는 숫자 셀의 서식 -> 숫자 ->일반텍스트로 변경해주세요,,,,,
dialogueId,characterId,triggerType,interactionType,dialogueText,nextDialougeId,tutorialId
Dialogue_0001,(나),auto,npc,... ►,Dialogue_0002,DialogueIng
,(나),,,...누구시죠? 그리고 여긴... 어디죠? ►,,
Dialogue_0002,(닥터 로만),auto,npc,... ►,Dialogue_0003,
,(닥터 로만),,,이곳은 누스피어 정신 능력 연구소. ►,,
,(닥터 로만),,,당신처럼 특별한 정신적 능력을 지닌 사람들을\n보호하고 관리하는 곳입니다. ►,,
Dialogue_0003,(나),auto,npc,...능력? ►,Dialogue_0004,
Dialogue_0004,(닥터 로만),auto,npc,당신의 능력은 타인의 정신 세계에 진입하는 것이죠.\n이를 통해 현실에도 영향을 미칠 수 있습니다. ►,Dialogue_0005,
,(닥터 로만),,,"대단한 능력이지만,\n누군가를 위험에... 빠뜨릴 가능성도 크죠. ►",,
,(닥터 로만),,,당신에게는 큰 사고가 있었습니다.\n그래서 기억이 온전치 않은 것으로 보이네요. ►,,
,(닥터 로만),,,따라서 저희는 당신이 그 능력을 제대로 통제하도록\n훈련 세션을 진행하려 합니다. ►,,
Dialogue_0005,(나),auto,npc,왜 저를 도와주시는 거죠? ►,Dialogue_0006,
Dialogue_0006,(닥터 로만),auto,npc,...그건 차차 알게 될 겁니다.\n모두 당신을... 위해섭니다. ►,,
,(닥터 로만),,,... ►,,
,(닥터 로만),,,우선 저희에게 협조하시죠.\n시작하겠습니다. ►,,
,(닥터 로만),,,"먼저, 자고 있는 연구원에게 다가가 보십시오. ►",,CharacterMove
Dialogue_0007,(닥터 로만),auto,npc,타인의 정신 세계에 진입하려면\n지금처럼 상대가 잠들어 있어야 합니다. ►,,
,(닥터 로만),,,이제 정신 세계 진입을 시도해 보죠. ►,,MentalProcess
Dialogue_0008,(닥터 로만),auto,npc,집중을 길게 유지하세요. ►,,Concentrate
Dialogue_0009,(닥터 로만),auto,npc,정신 세계에 진입했군요.\n이곳은 각자의 기억과 생각이 반영된 공간입니다. ►,,
,(닥터 로만),,,저기 책상 위에 연구원의 ‘연구 기록’이 보이는 군요.\n가까이서 한 번 자세히 들여다보죠. ►,,Interaction
Dialogue_0010,(닥터 로만),auto,npc,당신이 들여다 보았던 물건 대부분은\n추후에 다시 꺼내볼 수 있습니다. ►,,Inventory
,(닥터 로만),,,"정신 세계 내에서는 물론,\n현실 세계에서도 가능하죠. ►",,
,(닥터 로만),,,이제 현실 세계로 돌아와 봅시다.\n진입할 때와 마찬가지로 집중하십시오. ►,,Concentrate
Dialogue_0011,(닥터 로만),auto,npc,마지막으로 이번 훈련의 통과 기준을 말씀드리겠습니다. ►,,
,(닥터 로만),,,당신이 진입한 정신 세계의 주인인...\n해당 연구원의 이름을 알아내 보시죠. ►,,
,(닥터 로만),,,주변을 잘 살피고 능력을 활용하여 유추하세요. ►,,Interaction
,(닥터 로만),,,"이후 제게 돌아와 정답을 맞히시면,\n훈련을 마치는 것으로 하겠습니다. ►",,DialogueStart
Dialogue_0012,(닥터 로만),interact,npc,연구원의 이름은 무엇이죠? ►,,
Dialogue_0013,(닥터 로만),auto,npc,틀렸습니다.\n다시 생각해보세요. ►,,
Dialogue_0014,(닥터 로만),auto,npc,정답입니다.\n훈련은 이만 마무리하는 것으로 하죠. ►,,
,(닥터 로만),,,문을 통해 밖으로 나가 이곳을 둘러보셔도 좋습니다.\n본인이 누군지... 궁금하실 테니. ►,,
Dialogue_0015,(닥터 로만),auto,object,아직 훈련이 끝나지 않았습니다.\n훈련을 마친 후 나가시죠. ►,,
Dialogue_0016,,interact,object,잠겨있다. ►,,
Dialogue_0017,,interact,object,(철컥) ►,,
,,,,열렸다. ►,,
Dialogue_0018,(닥터 로만),auto,npc,... ►,,
,,,,훈련에 집중하세요. ►,,
Dialogue_0019,(나),auto,npc,나중에 열어보자. ►,,
Dialogue_0020,(나),interact,object,잠겨있다.\n카드 키를 꽂아야 하는 것 같다. ►,,
Dialogue_0021,(나),interact,object,문이 잠겨있다. ►,,
Dialogue_0022,(나),interact,object,잘못된 카드 키인 것 같다. ►,,
Dialogue_0023,,interact,object,열렸다. ►,,
