@,"particle, sound, ui -> 실행하자마자 OnEffectEnd 호출",,,,
@,animation -> animation 끝나면 behaviour 추가해서 OnEffectEnd 호출,,,,
@,timeline -> 끝나면 OnEffectEnd 호출,,,,
@,,,,,
@,,셀에 숫자만 적을때는 숫자 셀의 서식 -> 숫자 ->일반텍스트로 변경해주세요,,,
effectId,effectType,effectName,description,artresourceId,soundresourceId
Effect_001,particle,위치 이동 포인트,캐릭터가 연구원 앞까지 이동할 수 있도록 포인트,Artresource_0001,
Effect_002,ui,정신세계 게이지,첫 클릭 시 정신세계 진입 게이지,Artresource_0002,
Effect_003,ui,게이지 차는 효과,게이지 차는 효과,Artresource_0003,
Effect_004,ui,정신세계 이동 효과,정신세계 진입 효과,Artresource_0004,
Effect_005,sound,노이즈,닥터가 무언가를 통해 보고 있다는 느낌을 주기 위한 지지직 소리,,Soundresource_001
Effect_006,ui,타이핑 UI,튜토리얼 정답을 누르기 위한 타이핑 UI,Artresource_0006,
Effect_007,animation,문 열림,연구원의 연구실 방 문 열림,Artresource_0015,
Effect_008,ui,카드함UI,카드함 기믹 UI,Artresource_0021,
Effect_009,ui,비밀번호 UI,비밀번호 기믹 UI,Artresource_0022,
Effect_010,animation,문 열림,실험체 방 문 열림,Artresource_0049,
Effect_011,animation,창문 깨짐,정신 세계의 거울이 깨짐,Artresource_0025,Soundresource_054
Effect_012,ui,라디오 UI,라디오 기믹 UI,Artresource_0032,
Effect_013,ui,책장 UI,책장 기믹 UI,Artresource_0033,
Effect_014,ui,책장 정답 UI,책장 정답 사진 UI 활성화,Artresource_0035,
Effect_015,timeline,문 열림,친구의 방 문열림,Artresource_0050,
Effect_016,ui,NPC 생성,친구의 방 앞 왼쪽 벽 앞에 닥터 NPC 생성,Artresource_0045,
Effect_017,timeline,강제 대화,주인공 캐릭터가 닥터 쪽을 바라보며 다이얼로그 실행,Artresource_0046,
Effect_018,timeline,NPC 이동,주인공 캐릭터가 길을 비켜주고(위쪽으로 한칸) 닥터가 친구의 방으로 들어가며 문이 닫힘,Artresource_0047,
Effect_019,timeline,NPC 이동2,닥터가 주인공을 바라봄,Artresource_0048,
Effect_020,ui,문 틈,문틈 속 닥터의 잔상,Artresource_0040,
Effect_021,ui,컴퓨터 UI,컴퓨터 이메일 UI,Artresource_0041,
Effect_022,ui,벽 시계 UI,벽 시계 기믹 UI,Artresource_0043,
Effect_023,sound,UI 종료,벽시계 정답 사운드 나온 후 2초 뒤 UI 강제 종료,,Soundresource_074
Effect_024,ui,암전,기절하듯 검은 화면으로 암전,Artresource_0044,
