@,,,,,,,,,,,,,,,,,,,,
repeat_type : 반복 여부 false true,,,,,,,,,,,,,,,,,,,,
"condition_type : or은 조건없이 진행, and 는 뒤 해당 조건들을 클리어 시 진행 가능",,,,,,,,,,,,,,,,,,,,
@,,,,,,,,,,,,,,,,,상호작용을 하고 있을 때에는 캐릭터 움직임 및 능력 사용은 금지된다는 전제,,,
@,셀에 숫자만 적을때는 숫자 셀의 서식 -> 숫자 ->일반텍스트로 변경해주세요,,,자동으로 실행되는 이벤트인지,,,,,,,,조건을 만족하지 못할 경우 실행되는 결과,,,반복 조건을 만족하지 못할 경우 실행되는 결과,,,,,
eventId,description,repeatType,conditionType,isAuto,conditionNum1,conditionNum2,conditionNum3,conditionNum4,result1,result2,result3,conditionFalseResult1,conditionFalseResult2,conditionFalseResult3,repeatFalseResult,evidenceId,lockConditionId,locationId,nextEventId,autoSave
Event_A001,게임 시작 시,false,or,true,,,,,Effect_061,Dialogue_0001,Effect_001,,,,,,Lock_condition_001,Location_1,Event_A003,
Event_A003,연구원 앞 도착,false,and,false,Event_A001,,,,Dialogue_0007,,,,,,,,Lock_condition_001,Location_1,Event_A004,
Event_A004,대화 듣고 스페이스 바 누를 때,false,and,false,Event_A003, ,,,Effect_002,Dialogue_0008,,,,,,,Lock_condition_001,Location_1,Event_A026,
Event_A026,연구원의 정신세계 진입 시도(맨 처음),false,and,false,Event_A004,,,,Mental_0001,,,,,,,,Lock_condition_001,Location_1,Event_A006,
Event_A006,연구원의 연구실(정신) 입장 시(맨 처음),false,and,false,Event_A026,,,,Dialogue_0009,,,,,,,,Lock_condition_001,Location_2,Event_A007,
Event_A007,연구 일지(정신) 클릭 시,false,and,false,Event_A006,,,,,,,,,,,Evidence_001,Lock_condition_001,Location_2,Event_A008,
Event_A008,연구 일지(정신) 닫을 시,false,and,false,Event_A007,,,,Dialogue_0010,,,,,,,,Lock_condition_001,Location_2,Event_A009,
Event_A009,연구원의 연구실(현실) 진입 시(맨 처음),false,and,false,Evidence_001,,,,Mental_0002,,,,,,,,Lock_condition_001,Location_2,Event_A010,
Event_A010,연구원의 연구실(현실) 입장 시(맨 처음),false,and,false,Event_A009,,,,Dialogue_0011,,,,,,,,Lock_condition_001,Location_1,,true
Event_A011,닥터에게 상호작용 시 - 연구원 이름 입력,false,and,false,Event_A010,!Quiz_001,,,Dialogue_0012,Quiz_001,,,,,Dialogue_0029,,Lock_condition_001,Location_1,,
Event_A014,밖으로 나가려고 문에 상호작용 시 ,true,and,false,Event_A010,Quiz_001,,,Effect_007,Event_A031,,Dialogue_0015,,,,,,Location_1,,
Event_A015,연구 일지(현실) 클릭 시,false,and,false,Event_A010,,,,,,,,,,,Evidence_002,,Location_1,,
Event_A016,사물함(현실) 클릭 시,false,and,false,Event_A010,,,,,,,,,,,Evidence_003,,Location_1,,
Event_A025,사물함(정신) 클릭 시,true,and,false,Event_A029,Evidence_003,,,Event_A018,,,Event_A017,,,,,,Location_2,,
Event_A017,사물함(정신) 클릭 시 - 펜던트 없을 때,true,or,false,,,,,Dialogue_0016,,,,,,,,,Location_2,,
Event_A018,사물함(정신) 클릭 시 - 펜던트 있을 때,false,or,false,,,,,Dialogue_0017,,,,,,,Evidence_007,,Location_2,,
Event_A019,옷걸이(현실) 클릭 시,false,and,false,Event_A010,,,,,,,,,,,Evidence_006,,Location_1,,
Event_A020,책장(현실) 클릭 시 - 카드 키 박스 클릭 시,true,and,false,Event_A010,,,,Effect_008,,,,,,,,,Location_1,,
Event_A021,책장(정신) 클릭 시,false,or,false,,,,,,,,,,,,Evidence_005,,Location_2,,
Event_A022,벽면(정신) 클릭 시,false,or,false,,,,,,,,,,,,Evidence_009,,Location_2,,
Event_A023,evidence_008 열람 시 - 처음,false,or,false,,,,,Dialogue_0018,,,,,,,Evidence_008,Lock_condition_006,,,
Event_A024,evidence_008 열람 시 - 2회 이상,true,or,false,,,,,Dialogue_0019,,,,,,,Evidence_008,Lock_condition_006,,,true
Event_A027,연구원의 연구실(정신) 진입 시(이후),true,and,false,Event_A006,,,,Mental_0004,,,,,,,,Lock_condition_001,Location_1,,
Event_A028,연구원의 연구실(현실) 진입 시(이후),true,and,false,Event_A010,,,,Mental_0005,,,,,,,,Lock_condition_001,Location_2,,
Event_A029,연구원의 연구실(정신) 입장(이후),true,and,false,Event_A027,,,,,,,,,,,,,,,
Event_A030,연구원의 연구실(현실) 입장(이후),true,and,false,Event_A028,,,,,,,,,,,,,,,
Event_A031,연구원의 연구실에서 라운지로 나감,true,or,false,,,,,,,,,,,,,,,,true
,,,,,,,,,,,,,,,,,,,,
Event_B028,라운지에서 연구원의 연구실로 들어감,true,or,false,,,,,Effect_007,,,,,,,,,,,
Event_B029,실험체 방 상호작용 시,true,and,false,,,,,Dialogue_0020,,,,,,,,Lock_condition_002,Location_3,,
Event_B030,실험체 제외 다른 방 상호작용 시 -  카드키 없음,true,and,false,,,,,Dialogue_0021,,,,,,,,,Location_3,,
Event_B031,라운지 쪽지 클릭 시,false,or,false,,,,,,,,,,,,Evidence_010,,Location_3,,
Event_B033,실험체 제외 다른 방 상호작용 시 -  카드키 있음,true,or,false,,,,,Dialogue_0022,,,,,,,,,Location_3,,
Event_B034,실험체 방 상호작용 시 - 카드키 있음,true,and,false,,,,,Dialogue_0023,Quiz_003,,,,,,,,Location_3,,
Event_B035,실험체 방 상호작용 시 - (틀린)카드키,true,or,false,,,,,Effect_030,Dialogue_0022,,,,,,,,Location_3,,
Event_B036,실험체 방 비밀번호 정답 시,true,and,false,Quiz_003,,,,Effect_010,,,,,,,,,Location_3,,
Event_B037,실험체 방 비밀번호 오답 시,true,and,false,!Quiz_003,,,,Effect_027,,,,,,,,,Location_3,,
Event_B027,라운지에서 실험체 방으로 들어감,true,and,false,Quiz_003,,,,,,,,,,,,,,,true
Event_B039,책장(현실) 클릭 시,false,or,false,,,,,,,,,,,,Evidence_024,,Location_4,,
Event_B040,라디오(현실) 클릭 시,true,or,false,,,,,Quiz_007,,,,,,,,,Location_4,,
Event_B041,그림(정신) 클릭 시,false,or,false,,,,,,,,,,,,Evidence_017,,Location_5,,
Event_B042,사물함(정신)클릭 시,false,or,false,,,,,,,,,,,,Evidence_018,,Location_5,,
Event_B043,라디오(정신)클릭 시,true,and,false,,,,,Quiz_004,,,,,,,,,Location_5,,
Event_B044,책장(정신) 클릭 시 ,true,and,false,!Quiz_005,,,,Quiz_005,,,,,,,,,Location_5,,
Event_B045,실험체의 방(현실) 진입 시(처음) - 거울 깨짐,false,or,false,,,,,Mental_0003,,,,,,,,Lock_condition_007,Location_5,,true
Event_B046,라디오(정신) 주파수 정답 시(거울 밖),false,and,false,Quiz_004,,,,,,,,,,,Evidence_023,,Location_5,,
Event_B055,라디오(정신) 주파수 정답 시(거울 안),false,and,false,Quiz_004,,,,,,,,,,,,,,,
Event_B047,라디오(정신) 주파수 오답 시,true,and,false,!Quiz_004,,,,Effect_026,,,,,,,,,Location_5,,
Event_B048,거울깨진 후 캐비넷과 상호작용 시 - 거울 조각 획득,false,and,false,Event_B045,,,,,,,,,,,Evidence_020,,Location_5,,
