@,,,
@,,,
@,,,
@,,,
@,한국어,영어,
localizationId,local1,local2,local3
TextLocalization_001,,,
TextLocalization_002,,,
TextLocalization_003,,,
TextLocalization_004,,,
TextLocalization_005,,,
TextLocalization_006,,,
TextLocalization_007,,,
TextLocalization_008,,,
TextLocalization_009,,,
TextLocalization_010,,,
TextLocalization_011,,,
TextLocalization_012,,,
TextLocalization_013,,,
TextLocalization_014,,,
TextLocalization_015,,,
TextLocalization_016,,,
TextLocalization_017,,,
TextLocalization_018,,,
TextLocalization_019,,,
TextLocalization_020,,,
TextLocalization_021,,,
